pcd_id,object_id,split
0100,0,train
0101,0,train
0102,0,train
0103,0,train
0104,0,train
0105,0,train
0106,1,val
0107,1,val
0108,1,val
0109,1,val
0110,1,val
0111,1,val
0112,1,val
0113,1,val
0114,2,train
0115,2,train
0116,2,train
0117,2,train
0118,3,train
0119,3,train
0120,3,train
0121,3,train
0122,4,train
0123,4,train
0124,4,train
0125,4,train
0126,5,train
0127,5,train
0128,5,train
0129,6,test
0130,6,test
0131,6,test
0132,6,test
0133,7,test
0134,7,test
0135,7,test
0136,7,test
0137,8,test
0138,8,test
0139,8,test
0140,8,test
0141,9,train
0142,9,train
0143,9,train
0144,9,train
0145,10,train
0146,11,val
0147,11,val
0148,11,val
0149,12,train
0150,13,train
0151,14,train
0152,15,train
0153,16,train
0154,17,val
0155,17,val
0156,17,val
0157,18,train
0158,18,train
0159,18,train
0160,18,train
0161,19,train
0162,19,train
0163,19,train
0164,19,train
0165,19,train
0166,19,train
0167,19,train
0168,19,train
0169,20,val
0170,20,val
0171,20,val
0172,20,val
0173,21,train
0174,21,train
0175,21,train
0176,22,test
0177,23,test
0178,23,test
0179,23,test
0180,23,test
0181,23,test
0182,23,test
0183,23,test
0184,23,test
0185,24,val
0186,24,val
0187,24,val
0188,24,val
0189,25,train
0190,25,train
0191,25,train
0192,25,train
0193,26,test
0194,26,test
0195,26,test
0196,26,test
0197,27,train
0198,27,train
0199,28,test
0200,29,train
0201,30,train
0202,30,train
0203,31,val
0204,31,val
0205,32,train
0206,32,train
0207,32,train
0208,32,train
0209,33,train
0210,33,train
0211,34,train
0212,34,train
0213,35,test
0214,35,test
0215,35,test
0216,35,test
0217,36,train
0218,36,train
0219,37,train
0220,37,train
0221,37,train
0222,37,train
0223,38,train
0224,38,train
0225,38,train
0226,38,train
0227,39,val
0228,39,val
0229,39,val
0230,39,val
0231,39,val
0232,39,val
0233,39,val
0234,39,val
0235,40,val
0236,41,train
0237,41,train
0238,41,train
0239,42,train
0240,42,train
0241,42,train
0242,42,train
0243,42,train
0244,42,train
0245,42,train
0246,42,train
0247,43,train
0248,44,train
0249,44,train
0250,44,train
0251,44,train
0252,44,train
0253,44,train
0254,44,train
0255,44,train
0256,45,train
0257,45,train
0258,45,train
0259,45,train
0260,46,train
0261,46,train
0262,46,train
0263,46,train
0264,47,train
0265,47,train
0266,47,train
0267,47,train
0268,48,train
0269,48,train
0270,48,train
0271,48,train
0272,48,train
0273,48,train
0274,48,train
0275,48,train
0276,48,train
0277,48,train
0278,48,train
0279,48,train
0280,49,val
0281,49,val
0282,49,val
0283,49,val
0284,50,test
0285,50,test
0286,50,test
0287,50,test
0288,51,train
0289,51,train
0290,52,train
0291,52,train
0292,53,train
0293,53,train
0294,53,train
0295,53,train
0296,54,train
0297,54,train
0298,54,train
0299,55,test
0300,56,test
0301,56,test
0302,56,test
0303,56,test
0304,56,test
0305,56,test
0306,56,test
0307,56,test
0308,56,test
0309,57,test
0310,57,test
0311,57,test
0312,58,val
0313,58,val
0314,58,val
0315,58,val
0316,59,test
0317,60,train
0318,60,train
0319,60,train
0320,61,train
0321,61,train
0322,61,train
0323,61,train
0324,62,test
0325,63,train
0326,64,train
0327,65,train
0328,65,train
0329,65,train
0330,65,train
0331,66,train
0332,66,train
0333,66,train
0334,66,train
0335,67,val
0336,67,val
0337,67,val
0338,67,val
0339,68,train
0340,68,train
0341,68,train
0342,68,train
0343,69,train
0344,69,train
0345,69,train
0346,69,train
0347,70,test
0348,70,test
0349,70,test
0350,70,test
0351,71,test
0352,71,test
0353,72,train
0354,72,train
0355,73,train
0356,73,train
0357,73,train
0358,73,train
0359,73,train
0360,73,train
0361,73,train
0362,73,train
0363,74,val
0364,74,val
0365,74,val
0366,74,val
0367,74,val
0368,74,val
0369,74,val
0370,74,val
0371,75,val
0372,75,val
0373,75,val
0374,75,val
0375,76,train
0376,76,train
0377,76,train
0378,76,train
0379,76,train
0380,76,train
0381,76,train
0382,76,train
0383,76,train
0384,76,train
0385,76,train
0386,76,train
0387,77,train
0388,78,train
0389,79,train
0390,79,train
0391,79,train
0392,79,train
0393,80,train
0394,80,train
0395,80,train
0396,81,train
0397,81,train
0398,81,train
0399,82,train
0400,82,train
0401,82,train
0402,82,train
0403,82,train
0404,82,train
0405,82,train
0406,82,train
0407,83,train
0408,83,train
0409,83,train
0410,83,train
0411,83,train
0412,83,train
0413,83,train
0414,83,train
0415,83,train
0416,83,train
0417,83,train
0418,83,train
0419,83,train
0420,83,train
0421,83,train
0422,83,train
0423,83,train
0424,83,train
0425,83,train
0426,83,train
0427,83,train
0428,83,train
0429,83,train
0430,83,train
0431,84,train
0432,84,train
0433,84,train
0434,84,train
0436,85,train
0437,85,train
0438,85,train
0439,86,val
0440,86,val
0441,86,val
0442,86,val
0443,87,val
0444,87,val
0445,87,val
0446,87,val
0447,88,val
0448,88,val
0449,88,val
0450,88,val
0451,89,train
0452,89,train
0453,89,train
0454,89,train
0455,89,train
0456,89,train
0457,89,train
0458,89,train
0459,90,train
0460,90,train
0461,90,train
0462,90,train
0463,91,val
0464,91,val
0465,91,val
0466,91,val
0467,92,val
0468,92,val
0469,92,val
0470,92,val
0471,93,train
0472,94,train
0473,95,train
0474,95,train
0475,96,val
0476,96,val
0477,96,val
0478,96,val
0479,97,val
0480,98,train
0481,99,train
0482,99,train
0483,99,train
0484,99,train
0485,100,train
0486,100,train
0487,100,train
0488,100,train
0489,101,train
0490,101,train
0491,101,train
0492,101,train
0493,101,train
0494,101,train
0495,101,train
0496,101,train
0497,102,train
0498,102,train
0499,102,train
0500,102,train
0501,103,train
0502,103,train
0503,103,train
0504,103,train
0505,104,train
0506,104,train
0507,104,train
0508,104,train
0509,105,train
0510,105,train
0511,105,train
0512,105,train
0513,106,train
0514,106,train
0515,106,train
0516,106,train
0517,107,test
0518,107,test
0519,107,test
0520,107,test
0521,107,test
0522,108,test
0523,108,test
0524,109,train
0525,110,train
0526,110,train
0527,110,train
0528,110,train
0529,110,train
0530,110,train
0531,110,train
0532,110,train
0533,111,train
